Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / Nombre
GRUPOSURA;39700,0;0.5;10352969740,0;260735,0;-200,0;39100,0;39880,0;39100,0;39706,87;GRUPO SURA
ECOPETROL;1335,0;1.84;10247536880,0;7636555,0;-25,0;1355,0;1355,0;1335,0;1341,91;ECOPETROL
PFAVAL;1175,0;1.67;6081214350,0;5150711,0;-20,0;1190,0;1195,0;1175,0;1180,66;GRUPO AVAL ACCIONES Y VALORES
PFBCOLOM;25860,0;1.15;5935928460,0;229596,0;-300,0;26160,0;26160,0;25720,0;25853,8;BANCO BANCOLOMBIA
CEMARGOS;11780,0;0.68;4878974000,0;416082,0;80,0;11800,0;11800,0;11660,0;11725,99;CEMENTOS ARGOS
EXITO;14480,0;0.55;4587772140,0;315732,0;-80,0;14500,0;14560,0;14400,0;14530,59;EXITO
ISA;9120,0;0.76;3824079430,0;418979,0;-70,0;9080,0;9190,0;9080,0;9127,14;ISA INTERCONEXION ELECTRICA
NUTRESA;25520,0;0.31;3451849040,0;135227,0;-80,0;25540,0;25560,0;25500,0;25526,33;GRUPO NUTRESA
CLH;12300,0;0.81;3248084000,0;264537,0;-100,0;12320,0;12320,0;12120,0;12278,37;CEMEX LATAM HOLDINGS
PFGRUPSURA;39000,0;0.51;2300816860,0;59122,0;-200,0;39200,0;39200,0;38800,0;38916,42;GRUPO SURA
EEB;1820,0;1.68;1924694755,0;1059777,0;30,0;1805,0;1820,0;1800,0;1816,13;GRUPO ENERGIA BOGOTA
HCOLSEL;12180,0;1.14;1827000000,0;150000,0;-140,0;12180,0;12180,0;12180,0;12180,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P
PFDAVVNDA;27060,0;0.22;1546627860,0;57447,0;60,0;27060,0;27060,0;26820,0;26922,69;BANCO DAVIVIENDA
CORFICOLCF;38000,0;0.05;1525031440,0;40220,0;20,0;37980,0;38000,0;37800,0;37917,24;CORFICOLOMBIANA
PFAVH;2340,0;1.68;1487199120,0;636895,0;-40,0;2360,0;2370,0;2290,0;2335,08;AVIANCA HOLDINGS S.A.
GRUPOARGOS;18900,0;1.25;1428902940,0;75462,0;-240,0;19080,0;19080,0;18900,0;18935,4;GRUPO ARGOS
BCOLOMBIA;23820,0;1.57;1228841440,0;51379,0;-380,0;24180,0;24180,0;23820,0;23917,19;BANCO BANCOLOMBIA
PFCEMARGOS;10980,0;0.0;1097108460,0;100768,0;0,0;10780,0;10980,0;10780,0;10887,47;CEMENTOS ARGOS
CNEC;9080,0;4.32;705165830,0;77820,0;-410,0;9380,0;9380,0;8850,0;9061,5;CANACOL ENERGY LTD
CELSIA;3895,0;0.26;585396435,0;152511,0;10,0;3850,0;3895,0;3830,0;3838,39;CELSIA
PFGRUPOARG;18120,0;0.98;385769400,0;21372,0;-180,0;18160,0;18160,0;18000,0;18050,22;GRUPO ARGOS
ELCONDOR;1155,0;0.43;279352995,0;242559,0;-5,0;1145,0;1155,0;1145,0;1151,69;EL CONDOR
BOGOTA;58500,0;0.0;236274300,0;4033,0;0,0;58500,0;59500,0;58500,0;58585,25;BANCO DE BOGOTA
CONCONCRET;1115,0;0.0;188222465,0;169129,0;0,0;1115,0;1115,0;1100,0;1112,89;CONCONCRETO S.A
ICOLCAP;13425,0;0.36;84846000,0;6320,0;-48,5;13425,0;13425,0;13425,0;13425,0;FONDO BURSATIL ISHARES COLCAP
GRUPOAVAL;1175,0;1.67;74008045,0;62551,0;-20,0;1185,0;1185,0;1175,0;1183,16;GRUPO AVAL ACCIONES Y VALORES
FABRICATO;14,6;2.67;71714899,0;4866961,0;-0,4;14,8;14,8;14,6;14,74;FABRICATO
ETB;595,0;0.0;61536685,0;103423,0;0,0;595,0;595,0;595,0;595,0;ETB
ISAGEN;4260,0;4.27;50679540,0;12248,0;-190,0;4275,0;4275,0;4260,0;4137,78;ISAGEN
BVC;18,4;0.54;29770758,4;1617976,0;-0,1;18,4;18,4;18,4;18,4;BOLSA DE VALORES DE COLOMBIA
MINEROS;2450,0;0.0;21095600,0;8650,0;0,0;2450,0;2450,0;2450,0;2438,8;MINEROS
COLTEJER;1600,0;0.0;13601600,0;8501,0;0,0;1600,0;1600,0;1600,0;1600,0;COLTEJER
PFCARPAK;2605,0;4.58;12324390,0;4716,0;-125,0;2605,0;2605,0;2605,0;2613,31;CARVAJAL EMPAQUES S.A.
TERPEL;9650,0;1.03;7382250,0;765,0;-100,0;9650,0;9650,0;9650,0;9650,0;ORGANIZACION TERPEL
VALOREM;449,0;0.0;5590102,0;12470,0;0,0;449,0;449,0;449,0;448,28;VALOREM S.A.
PROMIGAS;0,0;0.0;4772520,0;972,0;0,0;0,0;0,0;0,0;4910,0;PROMIGAS
PFCORFICOL;0,0;0.0;2592000,0;80,0;0,0;0,0;0,0;0,0;32400,0;CORFICOLOMBIANA
