Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2382,0;-3,52;31207977481;13172050;-87,0;2430,0;2436,0;2303,0;2369,26;ECOPETROL;EQTY
PFBCOLOM;31000,0;-2,52;19724340430;633114;-800,0;31680,0;31680,0;30920,0;31154,48;BANCO BANCOLOMBIA;EQTY
BCOLOMBIA;41200,0;-0,72;8699365230;211706;-300,0;41490,0;41780,0;40600,0;41091,73;BANCO BANCOLOMBIA;EQTY
ISA;17520,0;-6,16;3983265340;221928;-1150,0;18500,0;18600,0;17520,0;17948,46;ISA INTERCONEXION ELECTRICA;EQTY
PFAVAL;546,0;-0,73;3828379325,7;7015975;-4,0;538,0;547,0;538,0;545,67;GRUPO AVAL ACCIONES Y VALORES;EQTY
ICOLCAP;12505,0;-2,04;3190799768;254684;-260,0;12628,0;12633,0;12440,5;12528,47;FONDO BURSATIL ISHARES COLCAP;EQTY
NUTRESA;38900,0;-28,75;1522745440;38098;-15700,0;51760,0;51760,0;38500,0;39969,17;GRUPO NUTRESA;EQTY
BHI;273,4;40,21;1184816692,7;4278024;78,4;268,1;280,0;268,1;276,95;BAC HOLDING INTERNATIONAL CORP;EQTY
GRUPOARGOS;10300,0;-1,9;795510055;78221;-200,0;10220,0;10300,0;10010,0;10170,03;GRUPO ARGOS;EQTY
PFDAVVNDA;26980,0;0,26;692047900;25659;70,0;26600,0;27000,0;26600,0;26970,96;BANCO DAVIVIENDA;EQTY
CORFICOLCF;17000,0;0,0;555619340;32725;0,0;16790,0;17000,0;16790,0;16978,44;CORFICOLOMBIANA;EQTY
GRUPOSURA;39000,0;-4,88;366604480;9247;-2000,0;40510,0;40510,0;39000,0;39645,77;GRUPO SURA;EQTY
CNEC;7130,0;-3,65;321822120;44969;-270,0;7160,0;7190,0;7130,0;7156,53;CANACOL ENERGY LTD;EQTY
CELSIA;3035,0;-0,49;317529461;105861;-15,0;3050,0;3050,0;2990,0;2999,49;CELSIA;EQTY
BOGOTA;31000,0;3,33;306314460;10071;1000,0;31000,0;31000,0;29990,0;30415,5;BANCO DE BOGOTA;EQTY
HCOLSEL;11650,0;-4,19;299241795;25465;-509,0;11900,0;11900,0;11650,0;11751,1;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFGRUPSURA;14060,0;-3,1;283710260;20233;-450,0;13950,0;14470,0;13700,0;14022,15;GRUPO SURA;EQTY
GEB;1730,0;-0,8;267779221;154365;-14,0;1750,0;1750,0;1720,0;1734,71;GRUPO ENERGIA BOGOTA;EQTY
PEI;-;-;212320070;5828;-;-;-;-;36431,03;PEI;EQTY
PROMIGAS;4057,0;0,15;169437988;39885;6,0;4249,0;4300,0;4057,0;4248,16;PROMIGAS;EQTY
TERPEL;8000,0;0,5;167796155;21106;40,0;7970,0;8000,0;7940,0;7950,16;ORGANIZACION TERPEL;EQTY
CLH;4350,0;0,0;148486964;33889;0,0;4400,0;4400,0;4350,0;4381,57;CEMEX LATAM HOLDINGS;EQTY
PFGRUPOARG;6125,0;-0,24;109069790;17975;-15,0;6010,0;6125,0;6010,0;6067,86;GRUPO ARGOS;EQTY
MINEROS;1800,0;2,39;90271734;50412;42,0;1766,0;1800,0;1766,0;1790,68;MINEROS;EQTY
PFCEMARGOS;2500,0;-2,34;89405212;35814;-60,0;2460,0;2510,0;2460,0;2496,38;CEMENTOS ARGOS;EQTY
ETB;111,0;1,93;74921733;674925;2,1;111,0;111,0;111,0;111,01;ETB;EQTY
CEMARGOS;-;-;47603131;12463;-;-;-;-;3819,56;CEMENTOS ARGOS;EQTY
GRUPOAVAL;535,5;2,96;46840215,2;87878;15,4;535,8;535,8;535,5;533,01;GRUPO AVAL ACCIONES Y VALORES;EQTY
ELCONDOR;1640,0;5,81;42362700;26020;90,0;1600,0;1640,0;1600,0;1628,08;EL CONDOR;EQTY
PFCORFICOL;13500,0;3,85;36914160;2755;500,0;13500,0;13500,0;13500,0;13398,97;CORFICOLOMBIANA;EQTY
CONCONCRET;-;-;27997158,4;117545;-;-;-;-;238,18;CONCONCRETO S.A;EQTY
EXITO;-;-;13970990;3855;-;-;-;-;3624,12;EXITO;EQTY
SDGEB;-;-;13106642;8508;-;-;-;-;1540,51;GRUPO ENERGIA BOGOTA;EQTY
BVC;-;-;12385800;1666;-;-;-;-;7434,45;BOLSA DE VALORES DE COLOMBIA;EQTY
GRUBOLIVAR;-;-;12067250;198;-;-;-;-;60945,71;GRUPO BOLIVAR;EQTY
ENKA;-;-;4574970;154527;-;-;-;-;29,61;ENKA DE COLOMBIA;EQTY
