Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;25000,0;-1,81;21748209760;854015;-460,00;25580,0;25980,0;24960,0;25465,84;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2100,0;0,96;19488144980;9305887;20,00;2085,0;2105,0;2080,0;2094,17;ECOPETROL;EQTY
PFAVAL;860,0;0,94;9643052673;11176316;8,00;860,0;870,0;858,0;862,81;GRUPO AVAL ACCIONES Y VALORES;EQTY
ICOLCAP;11770,0;0,73;8776714190;745085;85,00;11780,0;11780,0;11770,0;11779,48;FONDO BURSATIL ISHARES COLCAP;EQTY
ISA;19540,0;-0,81;3973502380;202789;-160,00;19700,0;19740,0;19500,0;19594,27;ISA INTERCONEXION ELECTRICA;EQTY
BCOLOMBIA;24680,0;-1,20;3941837440;157175;-300,00;25300,0;25480,0;24680,0;25079,29;BANCO BANCOLOMBIA;EQTY
PFDAVVNDA;28960,0;-0,48;3639397660;123687;-140,00;29500,0;29500,0;28960,0;29424,25;BANCO DAVIVIENDA;EQTY
NUTRESA;20940,0;-0,48;3143052880;150215;-100,00;21040,0;21100,0;20780,0;20923,7;GRUPO NUTRESA;EQTY
GRUPOSURA;19960,0;-1,58;1865897960;92059;-320,00;20500,0;20580,0;19960,0;20268,5;GRUPO SURA;EQTY
GEB;2400,0;0,21;1718924980;719008;5,00;2395,0;2400,0;2380,0;2390,69;GRUPO ENERGIA BOGOTA;EQTY
GRUPOARGOS;10400,0;1,17;1541528220;149195;120,00;10280,0;10400,0;10260,0;10332,3;GRUPO ARGOS;EQTY
HCOLSEL;10768,0;0,64;1076800000;100000;68,00;10768,0;10768,0;10768,0;10768,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
CELSIA;4225,0;0,60;1070429220;254247;25,00;4225,0;4230,0;4200,0;4210,19;CELSIA;EQTY
CLH;1670,0;4,38;769102925;464584;70,00;1610,0;1670,0;1610,0;1655,47;CEMEX LATAM HOLDINGS;EQTY
CORFICOLCF;25780,0;-0,77;641036740;24763;-200,00;26300,0;26300,0;25740,0;25886,88;CORFICOLOMBIANA;EQTY
PFGRUPSURA;16760,0;0,60;613913200;36624;100,00;16660,0;16880,0;16660,0;16762,59;GRUPO SURA;EQTY
PFCORFICOL;21920,0;-0,81;530933740;24093;-180,00;22100,0;22100,0;21920,0;22036,85;CORFICOLOMBIANA;EQTY
BOGOTA;65000,0;1,28;528967000;8150;820,00;64180,0;65000,0;64180,0;64903,93;BANCO DE BOGOTA;EQTY
CEMARGOS;3590,0;-2,05;392813785;107188;-75,00;3720,0;3730,0;3590,0;3664,72;CEMENTOS ARGOS;EQTY
CNEC;10120,0;-0,20;387625680;38194;-20,00;10140,0;10180,0;10120,0;10148,86;CANACOL ENERGY LTD;EQTY
TERPEL;6980,0;3,41;353138150;51503;230,00;6770,0;6980,0;6770,0;6856,65;ORGANIZACION TERPEL;EQTY
PFCEMARGOS;3220,0;-0,31;140557050;43572;-10,00;3230,0;3235,0;3220,0;3225,86;CEMENTOS ARGOS;EQTY
PFAVH;217,0;3,33;136272066;637278;7,00;208,0;217,0;208,0;213,83;AVIANCA HOLDINGS S.A.;EQTY
PROMIGAS;6770,0;-0,15;135264600;19980;-10,00;6770,0;6770,0;6770,0;6770,0;PROMIGAS;EQTY
MINEROS;3550,0;0,28;95556950;26953;10,00;3540,0;3550,0;3540,0;3545,32;MINEROS;EQTY
GRUBOLIVAR;66500,0;1,43;72418500;1089;940,00;66500,0;66500,0;66500,0;66500,0;GRUPO BOLIVAR;EQTY
PFGRUPOARG;8710,0;1,28;71984000;8300;110,00;8650,0;8710,0;8650,0;8672,77;GRUPO ARGOS;EQTY
CONCONCRET;380,0;3,54;60343500;157650;13,00;383,0;383,0;380,0;382,77;CONCONCRETO S.A;EQTY
ETB;218,0;-0,46;49295370;225297;-1,00;219,0;219,0;218,0;218,8;ETB;EQTY
BVC;10880,0;0,37;44900720;4136;40,00;10840,0;10880,0;10840,0;10856,07;BOLSA DE VALORES DE COLOMBIA;EQTY
EXITO;0,0;0,00;4729940;470;0,00;0,0;0,0;0,0;10063,7;EXITO;EQTY
GRUPOAVAL;0,0;0,00;4363040;4958;0,00;0,0;0,0;0,0;880,0;GRUPO AVAL ACCIONES Y VALORES;EQTY
ELCONDOR;0,0;0,00;3473888;3620;0,00;0,0;0,0;0,0;959,64;EL CONDOR;EQTY
