Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2095,0;-5,84;27186402010;13033038;-130,00;2210,0;2210,0;2025,0;2085,96;ECOPETROL;EQTY
PFBCOLOM;27880,0;1,23;24619732840;904816;340,00;27500,0;27980,0;26500,0;27209,66;BANCO BANCOLOMBIA;EQTY
ISA;18100,0;1,12;11641186200;643969;200,00;17900,0;18200,0;17500,0;18077,25;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOSURA;24720,0;0,90;9552798540;391206;220,00;24300,0;24720,0;23620,0;24418,84;GRUPO SURA;EQTY
PFAVAL;930,0;-2,00;7447312973;7959234;-19,00;940,0;963,0;925,0;935,68;GRUPO AVAL ACCIONES Y VALORES;EQTY
ICOLCAP;12250,5;-1,64;7051704355;576700;-204,50;12098,0;12250,5;12050,0;12227,68;FONDO BURSATIL ISHARES COLCAP;EQTY
BCOLOMBIA;26800,0;0,30;5472896560;205198;80,00;26700,0;27420,0;25540,0;26671,3;BANCO BANCOLOMBIA;EQTY
CLH;1860,0;7,83;4921666725;2786945;135,00;1710,0;1860,0;1650,0;1765,97;CEMEX LATAM HOLDINGS;EQTY
GEB;2305,0;-1,50;3826261255;1642750;-35,00;2290,0;2370,0;2290,0;2329,18;GRUPO ENERGIA BOGOTA;EQTY
NUTRESA;22980,0;0,88;3680706460;163032;200,00;22360,0;22980,0;22360,0;22576,59;GRUPO NUTRESA;EQTY
GRUPOARGOS;11580,0;0,70;3429124040;301600;80,00;11440,0;11580,0;11000,0;11369,77;GRUPO ARGOS;EQTY
PFGRUPSURA;18800,0;-0,32;2529444880;136606;-60,00;18640,0;18860,0;17500,0;18516,35;GRUPO SURA;EQTY
BVC;8660,0;0,93;1678966290;194483;80,00;8620,0;8700,0;8600,0;8632,97;BOLSA DE VALORES DE COLOMBIA;EQTY
PFDAVVNDA;29500,0;2,79;1532430460;54061;800,00;28400,0;29500,0;27980,0;28346,32;BANCO DAVIVIENDA;EQTY
PFAVH;612,0;2,00;1020038912;1677312;12,00;604,0;641,0;551,0;608,14;AVIANCA HOLDINGS S.A.;EQTY
CNEC;10000,0;-2,53;976203270;98944;-260,00;10000,0;10020,0;9700,0;9866,22;CANACOL ENERGY LTD;EQTY
CEMARGOS;3855,0;-2,28;836533875;215226;-90,00;3900,0;3950,0;3850,0;3886,77;CEMENTOS ARGOS;EQTY
CORFICOLCF;26300,0;-0,75;754706460;28910;-200,00;26020,0;26300,0;26000,0;26105,38;CORFICOLOMBIANA;EQTY
CELSIA;4290,0;0,00;632240555;148860;0,00;4250,0;4290,0;4165,0;4247,22;CELSIA;EQTY
GRUBOLIVAR;59000,0;-1,67;456179440;7675;-1000,00;60300,0;60300,0;59000,0;59437,06;GRUPO BOLIVAR;EQTY
ETB;215,0;-0,92;351527704;1702758;-2,00;206,0;215,0;205,0;206,45;ETB;EQTY
PFGRUPOARG;9400,0;0,21;311741020;33927;20,00;9110,0;9400,0;8720,0;9188,58;GRUPO ARGOS;EQTY
EXITO;11400,0;-3,06;294056480;25531;-360,00;11660,0;11660,0;11400,0;11517,62;EXITO;EQTY
ELCONDOR;1020,0;0,49;292898745;290427;5,00;1020,0;1020,0;1000,0;1008,51;EL CONDOR;EQTY
BOGOTA;73960,0;0,00;280826120;3797;0,00;73960,0;73960,0;73960,0;73960,0;BANCO DE BOGOTA;EQTY
PFCORFICOL;21660,0;-3,30;205909940;9531;-740,00;21500,0;21700,0;21500,0;21604,23;CORFICOLOMBIANA;EQTY
PROMIGAS;6990,0;0,00;94432500;13500;0,00;7000,0;7000,0;6990,0;6995,0;PROMIGAS;EQTY
MINEROS;2835,0;-0,18;86157410;30606;-5,00;2780,0;2845,0;2755,0;2815,05;MINEROS;EQTY
PFCEMARGOS;3565,0;2,00;65676755;18505;70,00;3490,0;3565,0;3490,0;3549,14;CEMENTOS ARGOS;EQTY
CONCONCRET;350,0;-0,85;41760060;117682;-3,00;350,0;350,0;350,0;354,86;CONCONCRETO S.A;EQTY
FABRICATO;4,45;-5,52;22655751;5091180;-0,26;4,45;4,45;4,45;4,45;FABRICATO;EQTY
TERPEL;8100,0;-2,53;14175000;1750;-210,00;8100,0;8100,0;8100,0;8100,0;ORGANIZACION TERPEL;EQTY
GRUPOAVAL;0,0;0,00;1990000;2000;0,00;0,0;0,0;0,0;995,0;GRUPO AVAL ACCIONES Y VALORES;EQTY
