Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;27400,0;-0,80;16431985560;600480;-220,00;27600,0;27660,0;26960,0;27364,75;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2165,0;-0,46;15530739395;7216291;-10,00;2155,0;2175,0;2125,0;2152,18;ECOPETROL;EQTY
ICOLCAP;12651,0;-1,08;9420290874;746173;-138,50;12653,5;12755,5;12620,0;12624,81;FONDO BURSATIL ISHARES COLCAP;EQTY
CLH;2625,0;1,16;8341428435;3239277;30,00;2595,0;2730,0;2500,0;2575,09;CEMEX LATAM HOLDINGS;EQTY
GRUPOSURA;22680,0;-1,73;7628386040;337190;-400,00;23080,0;23240,0;22400,0;22623,41;GRUPO SURA;EQTY
PFAVAL;945,0;-1,66;7435292805;7839904;-16,00;960,0;960,0;940,0;948,39;GRUPO AVAL ACCIONES Y VALORES;EQTY
GRUPOARGOS;12180,0;-1,77;4694107380;384813;-220,00;12420,0;12660,0;12000,0;12198,41;GRUPO ARGOS;EQTY
CNEC;10160,0;-1,36;3596977500;355621;-140,00;10240,0;10240,0;10060,0;10114,64;CANACOL ENERGY LTD;EQTY
ISA;21320,0;-2,47;3512900460;164543;-540,00;21920,0;21920,0;21020,0;21349,44;ISA INTERCONEXION ELECTRICA;EQTY
BCOLOMBIA;27300,0;-1,44;3411360600;125193;-400,00;27240,0;27540,0;26980,0;27248,81;BANCO BANCOLOMBIA;EQTY
CEMARGOS;5000,0;-3,29;3265628190;650991;-170,00;5170,0;5170,0;4985,0;5016,4;CEMENTOS ARGOS;EQTY
PFDAVVNDA;29100,0;-1,36;3062743300;104845;-400,00;29600,0;29600,0;28800,0;29212,11;BANCO DAVIVIENDA;EQTY
NUTRESA;23380,0;1,83;2598548840;113339;420,00;22800,0;23380,0;22700,0;22927,23;GRUPO NUTRESA;EQTY
GEB;2500,0;0,81;1819803430;732198;20,00;2475,0;2500,0;2475,0;2485,4;GRUPO ENERGIA BOGOTA;EQTY
PFGRUPSURA;19200,0;0,95;1204477340;63382;180,00;19120,0;19200,0;18660,0;19003,46;GRUPO SURA;EQTY
PFCORFICOL;22120,0;-0,18;873184020;39618;-40,00;22180,0;22180,0;21620,0;22040,08;CORFICOLOMBIANA;EQTY
BOGOTA;69540,0;-3,42;851477860;12034;-2460,00;71980,0;71980,0;69540,0;70756,01;BANCO DE BOGOTA;EQTY
PFCEMARGOS;3920,0;-0,76;729607610;186414;-30,00;3980,0;3980,0;3845,0;3913,91;CEMENTOS ARGOS;EQTY
TERPEL;8050,0;1,90;672185830;83395;150,00;7890,0;8390,0;7890,0;8060,27;ORGANIZACION TERPEL;EQTY
CORFICOLCF;27500,0;-0,36;647014980;23571;-100,00;27700,0;27700,0;27400,0;27449,62;CORFICOLOMBIANA;EQTY
HCOLSEL;11648,5;-1,95;583065000;50000;-231,50;11712,5;11712,5;11648,5;11661,3;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
PFGRUPOARG;9320,0;-1,27;570732980;61159;-120,00;9400,0;9400,0;9060,0;9331,95;GRUPO ARGOS;EQTY
CELSIA;4640,0;-0,32;439340500;94952;-15,00;4595,0;4640,0;4585,0;4626,97;CELSIA;EQTY
BVC;11600,0;1,22;264790040;23272;140,00;11380,0;11600,0;11340,0;11378,05;BOLSA DE VALORES DE COLOMBIA;EQTY
MINEROS;3885,0;0,13;206941015;53354;5,00;3885,0;3895,0;3870,0;3878,64;MINEROS;EQTY
EXITO;11580,0;0,00;203827700;17697;0,00;11580,0;11580,0;11360,0;11517,64;EXITO;EQTY
PROMIGAS;7290,0;1,25;161351010;22129;90,00;7290,0;7300,0;7290,0;7291,38;PROMIGAS;EQTY
PFAVH;214,0;7,00;152742343;725857;14,00;206,0;214,0;205,0;210,43;AVIANCA HOLDINGS S.A.;EQTY
CONCONCRET;374,0;0,81;105671225;282833;3,00;372,0;379,0;370,0;373,62;CONCONCRETO S.A;EQTY
GRUBOLIVAR;66000,0;0,00;89511560;1354;0,00;66400,0;66400,0;66000,0;66108,98;GRUPO BOLIVAR;EQTY
ETB;207,0;-2,82;73961644;354352;-6,00;212,0;212,0;207,0;208,72;ETB;EQTY
ELCONDOR;1045,0;-0,48;24316300;23206;-5,00;1050,0;1050,0;1045,0;1047,85;EL CONDOR;EQTY
BBVACOL;0,0;0,00;13574927;45165;0,00;0,0;0,0;0,0;300,56;BBVA COLOMBIA;EQTY
FABRICATO;0,0;0,00;2160000;450000;0,00;0,0;0,0;0,0;4,8;FABRICATO;EQTY
ENKA;0,0;0,00;1001625,5;129242;0,00;0,0;0,0;0,0;7,75;ENKA DE COLOMBIA;EQTY
