Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;24800,0;-2,36;51109669980;2055070;-600,00;25800,0;25820,0;24500,0;24870,04;BANCO BANCOLOMBIA;EQTY
ECOPETROL;1920,0;4,35;17554599890;9170947;80,00;1860,0;1950,0;1860,0;1914,15;ECOPETROL;EQTY
PFAVAL;896,0;-1,97;9914998691;11044173;-18,00;920,0;926,0;880,0;897,76;GRUPO AVAL ACCIONES Y VALORES;EQTY
BCOLOMBIA;24780,0;-0,08;7899773500;324500;-20,00;25000,0;25000,0;23940,0;24344,45;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;9910,0;-5,62;7866541870;781238;-590,00;11500,0;11500,0;9800,0;10069,33;GRUPO ARGOS;EQTY
GRUPOSURA;21460,0;-0,65;5507537400;256041;-140,00;22280,0;22280,0;21240,0;21510,37;GRUPO SURA;EQTY
ISA;18200,0;4,00;4043691460;224470;700,00;17500,0;18200,0;17340,0;18014,4;ISA INTERCONEXION ELECTRICA;EQTY
GEB;2215,0;0,23;4036107075;1802508;5,00;2230,0;2275,0;2200,0;2239,16;GRUPO ENERGIA BOGOTA;EQTY
NUTRESA;22500,0;-1,32;3995809140;176457;-300,00;22580,0;23320,0;22500,0;22644,66;GRUPO NUTRESA;EQTY
PFDAVVNDA;27700,0;-2,46;3734854660;134683;-700,00;28400,0;28400,0;27460,0;27730,71;BANCO DAVIVIENDA;EQTY
CELSIA;4200,0;0,72;2838066840;675967;30,00;4170,0;4285,0;4170,0;4198,53;CELSIA;EQTY
PFGRUPSURA;19060,0;1,28;2268368780;119625;240,00;19000,0;19060,0;18400,0;18962,33;GRUPO SURA;EQTY
CORFICOLCF;25800,0;-0,39;1958985200;75900;-100,00;25900,0;25900,0;25800,0;25810,08;CORFICOLOMBIANA;EQTY
ICOLCAP;11705,0;0,30;1339364075;114131;35,00;11735,0;11742,0;11705,0;11735,32;FONDO BURSATIL ISHARES COLCAP;EQTY
CNEC;10040,0;0,80;1253575840;124952;80,00;10000,0;10120,0;9840,0;10032,46;CANACOL ENERGY LTD;EQTY
EXITO;12000,0;8,11;959533040;83168;900,00;11100,0;12180,0;11100,0;11537,29;EXITO;EQTY
CEMARGOS;3680,0;5,44;932431865;256141;190,00;3700,0;3700,0;3560,0;3640,31;CEMENTOS ARGOS;EQTY
CLH;1780,0;2,89;821763400;458022;50,00;1760,0;1815,0;1760,0;1794,16;CEMEX LATAM HOLDINGS;EQTY
PFGRUPOARG;8950,0;-7,73;772620680;86123;-750,00;9680,0;9680,0;8870,0;8971,13;GRUPO ARGOS;EQTY
BOGOTA;69700,0;-0,43;439465360;6337;-300,00;70000,0;70000,0;69000,0;69349,12;BANCO DE BOGOTA;EQTY
PFAVH;555,0;2,78;347346250;627392;15,00;545,0;562,0;545,0;553,64;AVIANCA HOLDINGS S.A.;EQTY
TERPEL;7500,0;-0,13;286895660;38162;-10,00;7700,0;7700,0;7500,0;7517,84;ORGANIZACION TERPEL;EQTY
PROMIGAS;6800,0;-0,15;214590000;31540;-10,00;6810,0;6810,0;6800,0;6803,74;PROMIGAS;EQTY
BVC;8500,0;-1,16;83227740;9777;-100,00;8500,0;8500,0;8500,0;8512,61;BOLSA DE VALORES DE COLOMBIA;EQTY
MINEROS;2840,0;0,35;81238440;28589;10,00;2845,0;2845,0;2840,0;2841,6;MINEROS;EQTY
ETB;205,0;-1,91;74841393;360819;-4,00;210,0;210,0;205,0;207,42;ETB;EQTY
GRUBOLIVAR;59000,0;-0,84;71798760;1215;-500,00;59080,0;59080,0;59000,0;59093,63;GRUPO BOLIVAR;EQTY
PFCORFICOL;21000,0;0,00;63880000;3030;0,00;21500,0;21500,0;21000,0;21082,51;CORFICOLOMBIANA;EQTY
PFCEMARGOS;3400,0;0,00;31197400;9227;0,00;3400,0;3400,0;3340,0;3381,1;CEMENTOS ARGOS;EQTY
ELCONDOR;1010,0;0,00;28783500;28350;0,00;1020,0;1020,0;1010,0;1015,29;EL CONDOR;EQTY
CONCONCRET;365,0;1,39;26119015;72046;5,00;360,0;365,0;360,0;362,53;CONCONCRETO S.A;EQTY
HCOLSEL;10607,0;-3,57;13046610;1230;-393,00;10607,0;10607,0;10607,0;10607,0;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
