Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2080,0;2,21;18256998605;8891607;45,00;2025,0;2080,0;2020,0;2053,28;ECOPETROL;EQTY
ICOLCAP;11685,0;-0,03;15816504202;1350824;-4,00;11721,0;11721,0;11685,0;11708,78;FONDO BURSATIL ISHARES COLCAP;EQTY
PFBCOLOM;25460,0;1,03;13720283960;540071;260,00;25000,0;25580,0;25000,0;25404,59;BANCO BANCOLOMBIA;EQTY
ISA;19700,0;-0,51;12048618020;611441;-100,00;19620,0;19880,0;19580,0;19705,28;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOSURA;20280,0;-1,55;4716235180;230086;-320,00;20520,0;20600,0;20280,0;20497,71;GRUPO SURA;EQTY
NUTRESA;21040,0;-0,47;4232982920;200802;-100,00;21120,0;21300,0;20900,0;21080,38;GRUPO NUTRESA;EQTY
BCOLOMBIA;24980,0;0,73;3790526500;151791;180,00;24800,0;25080,0;24800,0;24972,01;BANCO BANCOLOMBIA;EQTY
HCOLSEL;10700,0;1,88;2355810000;220000;197,00;10710,5;10716,0;10700,0;10708,23;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GRUPOARGOS;10280,0;-0,58;2181978760;211978;-60,00;10340,0;10400,0;10240,0;10293,42;GRUPO ARGOS;EQTY
PFAVAL;852,0;0,24;1985008870;2328042;2,00;850,0;858,0;844,0;852,65;GRUPO AVAL ACCIONES Y VALORES;EQTY
GEB;2395,0;1,05;1810944980;760183;25,00;2370,0;2395,0;2365,0;2382,25;GRUPO ENERGIA BOGOTA;EQTY
PFDAVVNDA;29100,0;-0,34;1777219440;61023;-100,00;29380,0;29380,0;29000,0;29123,76;BANCO DAVIVIENDA;EQTY
CELSIA;4200,0;0,84;1671533155;398449;35,00;4170,0;4235,0;4165,0;4195,1;CELSIA;EQTY
PROMIGAS;6780,0;0,00;1546826160;228172;0,00;6780,0;6780,0;6770,0;6779,21;PROMIGAS;EQTY
CEMARGOS;3665,0;-1,74;1266788225;345080;-65,00;3700,0;3700,0;3665,0;3671,0;CEMENTOS ARGOS;EQTY
CORFICOLCF;25980,0;0,08;1228355120;47527;20,00;25840,0;25980,0;25740,0;25845,42;CORFICOLOMBIANA;EQTY
PFGRUPSURA;16660,0;0,60;710973440;42876;100,00;16660,0;16720,0;16400,0;16582,08;GRUPO SURA;EQTY
CNEC;10140,0;-0,59;653719900;64286;-60,00;10200,0;10220,0;10140,0;10168,93;CANACOL ENERGY LTD;EQTY
PFCORFICOL;22100,0;0,91;642665680;29256;200,00;21800,0;22100,0;21800,0;21966,97;CORFICOLOMBIANA;EQTY
EXITO;10000,0;-1,19;615179240;61006;-120,00;10040,0;10120,0;10000,0;10083,91;EXITO;EQTY
BOGOTA;64180,0;1,87;448056440;7031;1180,00;63600,0;64180,0;63600,0;63725,85;BANCO DE BOGOTA;EQTY
PFGRUPOARG;8600,0;1,18;373872550;43891;100,00;8460,0;8600,0;8460,0;8518,21;GRUPO ARGOS;EQTY
ETB;219,0;2,34;364489840;1656382;5,00;220,0;223,0;219,0;220,05;ETB;EQTY
CLH;1600,0;-1,54;267854925;165759;-25,00;1595,0;1635,0;1595,0;1615,93;CEMEX LATAM HOLDINGS;EQTY
MINEROS;3540,0;0,57;156404175;44240;20,00;3530,0;3540,0;3525,0;3535,36;MINEROS;EQTY
PFCEMARGOS;3230,0;1,41;154763850;48229;45,00;3200,0;3240,0;3200,0;3208,94;CEMENTOS ARGOS;EQTY
GRUBOLIVAR;65560,0;0,86;97793800;1500;560,00;65000,0;65560,0;65000,0;65195,87;GRUPO BOLIVAR;EQTY
PFAVH;210,0;-0,94;49400361;235057;-2,00;210,0;210,0;210,0;210,16;AVIANCA HOLDINGS S.A.;EQTY
TERPEL;6750,0;0,30;44124850;6545;20,00;6730,0;6750,0;6730,0;6741,76;ORGANIZACION TERPEL;EQTY
BVC;10840,0;0,00;34795500;3224;0,00;10760,0;10840,0;10760,0;10792,65;BOLSA DE VALORES DE COLOMBIA;EQTY
GRUPOAVAL;900,0;0,00;23100555;25650;0,00;903,0;903,0;900,0;900,61;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFVILLAS;4500,0;-21,74;6894000;1532;-1250,00;4500,0;4500,0;4500,0;4500,0;BANCO AV VILLAS;EQTY
CONCONCRET;0,0;0,00;2962400;8050;0,00;0,0;0,0;0,0;368,0;CONCONCRETO S.A;EQTY
